eventType,eventTimestamp,orderID,instrumentID,side,quantity,price,trader,leavesQuantity,assetClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D20:30:29.002000000,OTT0160407/577501021,USM7,B,100000,1.35,REF_FDTraderY,100000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:40:29.005000000,OTT0160407/577501014,USM7,S,400000,1.3502,REF_FDTrader88ay,400000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D21:40:29.005000000,OTT0160407/577501017,USM7,S,100000,1.3502,REF_FDTrader88ay,100000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D22:05:01.000000000,OTT_LQT_Oid1,XYZ_LQTest,S,1000,1.3502,REF_FDTraderY,1000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D22:05:02.000000000,OTT_LQT_Oid2,XYZ_LQTest,S,1000,1.3502,REF_FDTraderY,1000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D22:05:03.000000000,OTT_LQT_Oid3,XYZ_LQTest,S,1000,1.3502,REF_FDTraderY,1000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D22:05:04.000000000,OTT_LQT_Oid4,XYZ_LQTest,S,1000,1.3502,REF_FDTraderY,1000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2015.05.04D22:05:05.000000000,OTT_LQT_Oid5,XYZ_LQTest,S,1000,1.3502,REF_FDTraderY,1000,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partiallyFilled,2015.05.04D22:05:05.000000000,OTT_LQT_Oid5,XYZ_LQTest,S,1000,1.3502,REF_FDTraderY,500,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancelled,2015.05.04D22:05:05.000000000,OTT_LQT_Oid5,XYZ_LQTest,S,1000,1.3502,REF_FDTraderY,500,COMM_EXCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
