eventType,eventTimestamp,orderID,instrumentID,side,quantity,price,trader,leavesQuantity,assetClass,timeSinceLastUpdate,within15Secs,alert
new,2015.04.20D15:00:00.767572424,HOR_NSM__oid1887718,FB.OQ,S,1,220.99,NSM_trader5,1,EQUITY_EXCHANGE,,FALSE,
replaced,2015.04.20D15:00:01.048504284,HOR_NSM__oid1887138,FB.OQ,B,6,220.92,NSM_trader0,6,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:01.067579016,HOR_NSM__oid1887916,FB.OQ,B,1,220.92,NSM_trader6,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:01.254608044,HOR_NSM__oid1887285,FB.OQ,S,1,221,NSM_trader1,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:01.443544503,HOR_NSM__oid1887363,FB.OQ,B,2,220.86,NSM_trader2,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:01.475542321,HOR_NSM__oid1887400,FB.OQ,B,1,220.9,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:01.551537869,HOR_NSM__oid1887494,FB.OQ,S,1,220.99,NSM_trader4,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:01.727662643,HOR_NSM__oid1888198,FB.OQ,B,1,220.95,NSM_trader7,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:01.755618772,HOR_NSM__oid1888213,FB.OQ,S,1,221.06,NSM_trader8,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:01.767572424,HOR_NSM__oid1887718,FB.OQ,S,1,220.99,NSM_trader5,0,EQUITY_EXCHANGE,,FALSE,
replaced,2015.04.20D15:00:02.048504284,HOR_NSM__oid1887138,FB.OQ,B,11,220.92,NSM_trader0,11,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:02.067579016,HOR_NSM__oid1887916,FB.OQ,B,1,220.92,NSM_trader6,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:02.075656973,HOR_NSM__oid1888303,FB.OQ,S,2,221.07,NSM_demoTrader,2,EQUITY_EXCHANGE,0D00:00:01.600114652,TRUE,
new,2015.04.20D15:00:02.625695133,HOR_NSM__oid1888654,FB.OQ,B,1,220.97,NSM_trader10,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:02.727662643,HOR_NSM__oid1888198,FB.OQ,B,1,220.95,NSM_trader7,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:02.755618772,HOR_NSM__oid1888213,FB.OQ,S,1,221.06,NSM_trader8,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:03.048504284,HOR_NSM__oid1887138,FB.OQ,B,11,220.92,NSM_trader0,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:03.075656973,HOR_NSM__oid1888303,FB.OQ,S,2,221.07,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:03.151482868,HOR_NSM__oid1888959,FB.OQ,S,2,221.05,NSM_trader11,2,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:03.515735392,HOR_NSM__oid1889119,FB.OQ,S,2,221.06,NSM_trader12,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:03.625695133,HOR_NSM__oid1888654,FB.OQ,B,1,220.97,NSM_trader10,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:03.639747814,HOR_NSM__oid1889138,FB.OQ,B,1,220.95,NSM_trader13,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:04.151482868,HOR_NSM__oid1888959,FB.OQ,S,2,221.05,NSM_trader11,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:04.515735392,HOR_NSM__oid1889119,FB.OQ,S,2,221.06,NSM_trader12,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:04.639747814,HOR_NSM__oid1889138,FB.OQ,B,1,220.95,NSM_trader13,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:04.843812980,HOR_NSM__oid1889397,FB.OQ,B,2,220.97,NSM_trader14,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:05.843812980,HOR_NSM__oid1889397,FB.OQ,B,2,220.97,NSM_trader14,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:05.967915557,HOR_NSM__oid1889620,FB.OQ,S,5,221.02,NSM_trader15,5,EQUITY_EXCHANGE,,FALSE,
replaced,2015.04.20D15:00:06.967915557,HOR_NSM__oid1889620,FB.OQ,S,10,221.02,NSM_trader15,10,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:07.967915557,HOR_NSM__oid1889620,FB.OQ,S,10,221.02,NSM_trader15,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:08.587123639,HOR_NSM__oid1890169,FB.OQ,B,1,220.93,NSM_trader16,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:09.587123639,HOR_NSM__oid1890169,FB.OQ,B,1,220.93,NSM_trader16,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:12.335360851,HOR_NSM__oid1890882,FB.OQ,B,2,220.94,NSM_trader17,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:13.335360851,HOR_NSM__oid1890882,FB.OQ,B,2,220.94,NSM_trader17,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:15.831584470,HOR_NSM__oid1891329,FB.OQ,B,1,220.95,NSM_trader18,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:16.831584470,HOR_NSM__oid1891329,FB.OQ,B,1,220.95,NSM_trader18,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:17.559293831,HOR_NSM__oid1891572,FB.OQ,B,1,220.87,NSM_trader19,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:18.559293831,HOR_NSM__oid1891572,FB.OQ,B,1,220.87,NSM_trader19,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:21.291570115,HOR_NSM__oid1892288,FB.OQ,S,1,220.91,NSM_trader20,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:22.291570115,HOR_NSM__oid1892288,FB.OQ,S,1,220.91,NSM_trader20,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:23.336070767,HOR_NSM__oid1892949,FB.OQ,S,6,220.89,NSM_trader21,6,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:24.336070767,HOR_NSM__oid1892949,FB.OQ,S,6,220.89,NSM_trader21,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:25.311610415,HOR_NSM__oid1893286,FB.OQ,S,4,220.89,NSM_trader22,4,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:25.312202945,HOR_NSM__oid1893301,FB.OQ,B,1,220.87,NSM_demoTrader,1,EQUITY_EXCHANGE,0D00:00:23.236545972,FALSE,
filled,2015.04.20D15:00:26.311610415,HOR_NSM__oid1893286,FB.OQ,S,4,220.89,NSM_trader22,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:26.312202945,HOR_NSM__oid1893301,FB.OQ,B,1,220.87,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:26.599218603,HOR_NSM__oid1893600,FB.OQ,B,1,220.88,NSM_demoTrader,1,EQUITY_EXCHANGE,0D00:00:01.287015658,TRUE,
filled,2015.04.20D15:00:27.599218603,HOR_NSM__oid1893600,FB.OQ,B,1,220.88,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:31.415087790,HOR_NSM__oid1894700,FB.OQ,S,4,220.97,NSM_demoTrader,4,EQUITY_EXCHANGE,0D00:00:04.815869187,TRUE,
new,2015.04.20D15:00:31.451528585,HOR_NSM__oid1894723,FB.OQ,B,1,220.9,NSM_trader26,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:32.415087790,HOR_NSM__oid1894700,FB.OQ,S,4,220.97,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:32.451528585,HOR_NSM__oid1894723,FB.OQ,B,1,220.9,NSM_trader26,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:33.616764965,HOR_NSM__oid1895052,FB.OQ,S,1,220.97,NSM_trader27,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:33.823686614,HOR_NSM__oid1895146,FB.OQ,B,1,220.88,NSM_trader28,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:34.315718896,HOR_NSM__oid1895262,FB.OQ,S,1,220.96,NSM_trader29,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:34.616764965,HOR_NSM__oid1895052,FB.OQ,S,1,220.97,NSM_trader27,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:34.699191378,HOR_NSM__oid1895345,FB.OQ,S,2,220.96,NSM_trader30,2,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:34.799750681,HOR_NSM__oid1895373,FB.OQ,S,2,220.96,NSM_trader31,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:34.823686614,HOR_NSM__oid1895146,FB.OQ,B,1,220.88,NSM_trader28,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:35.315718896,HOR_NSM__oid1895262,FB.OQ,S,1,220.96,NSM_trader29,0,EQUITY_EXCHANGE,,FALSE,
replaced,2015.04.20D15:00:35.699191378,HOR_NSM__oid1895345,FB.OQ,S,7,220.96,NSM_trader30,7,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:35.799750681,HOR_NSM__oid1895373,FB.OQ,S,2,220.96,NSM_trader31,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:36.699191378,HOR_NSM__oid1895345,FB.OQ,S,7,220.96,NSM_trader30,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:37.863949084,HOR_NSM__oid1896038,FB.OQ,B,1,220.89,NSM_trader32,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:38.863949084,HOR_NSM__oid1896038,FB.OQ,B,1,220.89,NSM_trader32,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:39.320039321,HOR_NSM__oid1896417,FB.OQ,B,1,220.84,NSM_trader33,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:40.320039321,HOR_NSM__oid1896417,FB.OQ,B,1,220.84,NSM_trader33,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:40.895628452,HOR_NSM__oid1896739,FB.OQ,B,2,220.83,NSM_trader34,2,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:41.048152805,HOR_NSM__oid1896791,FB.OQ,B,1,220.83,NSM_trader35,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:41.895628452,HOR_NSM__oid1896739,FB.OQ,B,2,220.83,NSM_trader34,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:42.048152805,HOR_NSM__oid1896791,FB.OQ,B,1,220.83,NSM_trader35,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:43.959382962,HOR_NSM__oid1897126,FB.OQ,B,1,220.82,NSM_trader36,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:44.930979835,HOR_NSM__oid1897250,FB.OQ,B,4,220.78,NSM_trader37,4,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:44.959382962,HOR_NSM__oid1897126,FB.OQ,B,1,220.82,NSM_trader36,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:45.930979835,HOR_NSM__oid1897250,FB.OQ,B,4,220.78,NSM_trader37,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:46.503552139,HOR_NSM__oid1897379,FB.OQ,S,2,220.86,NSM_trader38,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:47.503552139,HOR_NSM__oid1897379,FB.OQ,S,2,220.86,NSM_trader38,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:47.619628595,HOR_NSM__oid1897634,FB.OQ,B,2,220.78,NSM_trader39,2,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:48.435684669,HOR_NSM__oid1897874,FB.OQ,B,2,220.76,NSM_trader40,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:48.619628595,HOR_NSM__oid1897634,FB.OQ,B,2,220.78,NSM_trader39,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:49.435684669,HOR_NSM__oid1897874,FB.OQ,B,2,220.76,NSM_trader40,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:52.707957194,HOR_NSM__oid1898592,FB.OQ,B,1,220.81,NSM_trader41,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:52.839967912,HOR_NSM__oid1898609,FB.OQ,S,1,220.85,NSM_trader42,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:53.011980065,HOR_NSM__oid1898706,FB.OQ,S,3,220.86,NSM_trader43,3,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:53.508012475,HOR_NSM__oid1898881,FB.OQ,S,3,220.9,NSM_trader44,3,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:53.707957194,HOR_NSM__oid1898592,FB.OQ,B,1,220.81,NSM_trader41,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:53.839967912,HOR_NSM__oid1898609,FB.OQ,S,1,220.85,NSM_trader42,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:54.011980065,HOR_NSM__oid1898706,FB.OQ,S,3,220.86,NSM_trader43,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:54.132056443,HOR_NSM__oid1898980,FB.OQ,B,2,220.83,NSM_trader45,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:54.508012475,HOR_NSM__oid1898881,FB.OQ,S,3,220.9,NSM_trader44,0,EQUITY_EXCHANGE,,FALSE,
replaced,2015.04.20D15:00:55.132056443,HOR_NSM__oid1898980,FB.OQ,B,7,220.83,NSM_trader45,7,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:55.920169534,HOR_NSM__oid1899425,FB.OQ,B,1,220.82,NSM_trader46,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:56.132056443,HOR_NSM__oid1898980,FB.OQ,B,7,220.83,NSM_trader45,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:56.920169534,HOR_NSM__oid1899425,FB.OQ,B,1,220.82,NSM_trader46,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:57.792315719,HOR_NSM__oid1899659,FB.OQ,S,1,220.87,NSM_trader47,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:57.911392011,HOR_NSM__oid1899674,FB.OQ,S,3,220.88,NSM_trader48,3,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:00:58.759303421,HOR_NSM__oid1899859,FB.OQ,S,1,220.87,NSM_trader49,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:58.792315719,HOR_NSM__oid1899659,FB.OQ,S,1,220.87,NSM_trader47,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:58.911392011,HOR_NSM__oid1899674,FB.OQ,S,3,220.88,NSM_trader48,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:00:59.759303421,HOR_NSM__oid1899859,FB.OQ,S,1,220.87,NSM_trader49,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:00.254472743,HOR_NSM__oid1900096,FB.OQ,B,2,220.77,NSM_trader50,2,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:00.934511002,HOR_NSM__oid1900258,FB.OQ,B,2,220.76,NSM_trader51,2,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:01.254472743,HOR_NSM__oid1900096,FB.OQ,B,2,220.77,NSM_trader50,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:01.934511002,HOR_NSM__oid1900258,FB.OQ,B,2,220.76,NSM_trader51,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:03.739620467,HOR_NSM__oid1900732,FB.OQ,B,1,220.83,NSM_trader52,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:04.599678566,HOR_NSM__oid1900868,FB.OQ,B,1,220.83,NSM_trader53,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:04.739620467,HOR_NSM__oid1900732,FB.OQ,B,1,220.83,NSM_trader52,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:05.599678566,HOR_NSM__oid1900868,FB.OQ,B,1,220.83,NSM_trader53,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:05.683746100,HOR_NSM__oid1901012,FB.OQ,B,1,220.85,NSM_trader54,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:06.683746100,HOR_NSM__oid1901012,FB.OQ,B,1,220.85,NSM_trader54,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:07.823879683,HOR_NSM__oid1901326,FB.OQ,B,1,220.8,NSM_trader55,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:08.719335823,HOR_NSM__oid1901401,FB.OQ,S,4,220.85,NSM_demoTrader,4,EQUITY_EXCHANGE,0D00:00:37.304248033,FALSE,
filled,2015.04.20D15:01:08.823879683,HOR_NSM__oid1901326,FB.OQ,B,1,220.8,NSM_trader55,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:09.251984874,HOR_NSM__oid1901443,FB.OQ,S,4,220.85,NSM_trader57,4,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:09.443988188,HOR_NSM__oid1901490,FB.OQ,S,4,220.85,NSM_trader58,4,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:09.719335823,HOR_NSM__oid1901401,FB.OQ,S,4,220.85,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:10.140029766,HOR_NSM__oid1901601,FB.OQ,S,4,220.85,NSM_demoTrader,4,EQUITY_EXCHANGE,0D00:00:01.420693943,TRUE,
filled,2015.04.20D15:01:10.251984874,HOR_NSM__oid1901443,FB.OQ,S,4,220.85,NSM_trader57,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:10.443988188,HOR_NSM__oid1901490,FB.OQ,S,4,220.85,NSM_trader58,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:11.140029766,HOR_NSM__oid1901601,FB.OQ,S,4,220.85,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:12.934464237,HOR_NSM__oid1901945,FB.OQ,S,1,220.85,NSM_trader60,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:13.220232983,HOR_NSM__oid1901987,FB.OQ,S,4,220.88,NSM_trader61,4,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:13.491405171,HOR_NSM__oid1902025,FB.OQ,S,3,220.88,NSM_trader62,3,EQUITY_EXCHANGE,,FALSE,
replaced,2015.04.20D15:01:13.934464237,HOR_NSM__oid1901945,FB.OQ,S,6,220.85,NSM_trader60,6,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:14.220232983,HOR_NSM__oid1901987,FB.OQ,S,4,220.88,NSM_trader61,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:14.491405171,HOR_NSM__oid1902025,FB.OQ,S,3,220.88,NSM_trader62,0,EQUITY_EXCHANGE,,FALSE,
partiallyFilled,2015.04.20D15:01:14.934464237,HOR_NSM__oid1901945,FB.OQ,S,6,220.85,NSM_trader60,6,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:15.547835163,HOR_NSM__oid1902300,FB.OQ,B,1,220.8,NSM_demoTrader,1,EQUITY_EXCHANGE,0D00:00:05.407805397,TRUE,
filled,2015.04.20D15:01:15.934464237,HOR_NSM__oid1901945,FB.OQ,S,6,220.85,NSM_trader60,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:16.547835163,HOR_NSM__oid1902300,FB.OQ,B,1,220.8,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:17.566525726,HOR_NSM__oid1902574,FB.OQ,S,3,220.86,NSM_trader64,3,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:18.483627270,HOR_NSM__oid1902617,FB.OQ,S,1,220.82,NSM_trader65,1,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:18.566525726,HOR_NSM__oid1902574,FB.OQ,S,3,220.86,NSM_trader64,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:18.622615219,HOR_NSM__oid1902648,FB.OQ,B,2,220.78,NSM_trader66,2,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:18.946399947,HOR_NSM__oid1902700,FB.OQ,B,1,220.81,NSM_demoTrader,1,EQUITY_EXCHANGE,0D00:00:03.398564784,TRUE,
filled,2015.04.20D15:01:19.483627270,HOR_NSM__oid1902617,FB.OQ,S,1,220.82,NSM_trader65,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:19.622615219,HOR_NSM__oid1902648,FB.OQ,B,2,220.78,NSM_trader66,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:19.946399947,HOR_NSM__oid1902700,FB.OQ,B,1,220.81,NSM_demoTrader,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:21.559820128,HOR_NSM__oid1903059,FB.OQ,S,4,220.85,NSM_trader68,4,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:22.559820128,HOR_NSM__oid1903059,FB.OQ,S,4,220.85,NSM_trader68,0,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:23.942922197,HOR_NSM__oid1903465,FB.OQ,B,1,220.77,NSM_trader69,1,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:24.314975759,HOR_NSM__oid1903521,FB.OQ,S,3,220.84,NSM_trader70,3,EQUITY_EXCHANGE,,FALSE,
new,2015.04.20D15:01:24.922779909,HOR_NSM__oid1903672,FB.OQ,S,4,220.84,NSM_trader71,4,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:24.942922197,HOR_NSM__oid1903465,FB.OQ,B,1,220.77,NSM_trader69,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:25.314975759,HOR_NSM__oid1903521,FB.OQ,S,3,220.84,NSM_trader70,0,EQUITY_EXCHANGE,,FALSE,
filled,2015.04.20D15:01:25.922779909,HOR_NSM__oid1903672,FB.OQ,S,4,220.84,NSM_trader71,0,EQUITY_EXCHANGE,,FALSE,
